date,equity_open,equity_close,pnl_abs,pnl_pct,max_dd_pct,trades,winrate
2025-11-20,197.00,197.00,0.00,0.00,0.00,0,0.0
2025-11-21,197.00,197.00,0.00,0.00,0.00,0,0.0
2025-11-22,197.00,195.03,-1.97,-1.00,-1.93,1,0.0
2025-11-23,195.03,195.03,0.00,0.00,0.00,0,0.0
2025-11-24,195.03,193.04,-1.99,-1.02,-2.48,1,0.0
2025-11-25,193.04,190.98,-2.06,-1.07,-1.54,1,0.0
2025-11-26,190.98,188.95,-2.02,-1.06,-1.66,1,0.0
2025-11-27,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-11-28,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-11-29,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-11-30,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-12-01,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-12-02,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-12-03,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-12-04,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-12-05,188.95,188.95,0.00,0.00,0.00,0,0.0
2025-12-06,188.95,186.92,-2.04,-1.08,-1.19,1,0.0
2025-12-07,186.92,186.92,0.00,0.00,0.00,0,0.0
